Date,Open,High,Low,Close
12/31/2019,"12,247.10","12,247.10","12,151.80","12,168.45"
12/30/2019,"12,274.90","12,286.45","12,213.80","12,255.85"
12/27/2019,"12,172.90","12,258.45","12,157.90","12,245.80"
12/26/2019,"12,211.85","12,221.55","12,118.85","12,126.55"
12/24/2019,"12,269.25","12,283.70","12,202.10","12,214.55"
12/23/2019,"12,235.45","12,287.15","12,213.25","12,262.75"
12/20/2019,"12,266.45","12,293.90","12,252.75","12,271.80"
12/19/2019,"12,223.40","12,268.35","12,191.15","12,259.70"
12/18/2019,"12,197.00","12,237.70","12,163.45","12,221.65"
12/17/2019,"12,082.45","12,182.75","12,070.35","12,165.00"
12/16/2019,"12,131.35","12,134.65","12,046.30","12,053.95"
12/13/2019,"12,026.40","12,098.85","12,023.60","12,086.70"
12/12/2019,"11,944.30","12,005.50","11,934.00","11,971.80"
12/11/2019,"11,867.35","11,923.20","11,832.30","11,910.15"
12/10/2019,"11,950.50","11,953.20","11,844.70","11,856.80"
12/9/2019,"11,939.10","11,981.95","11,888.05","11,937.50"
12/6/2019,"12,047.35","12,057.05","11,888.85","11,921.50"
12/5/2019,"12,071.25","12,081.20","11,998.75","12,018.40"
12/4/2019,"11,969.95","12,054.70","11,935.30","12,043.20"
12/3/2019,"12,067.65","12,068.60","11,956.40","11,994.20"
12/2/2019,"12,137.05","12,137.15","12,023.70","12,048.20"
11/29/2019,"12,146.20","12,147.40","12,017.40","12,056.05"
11/28/2019,"12,132.10","12,158.80","12,099.95","12,151.15"
11/27/2019,"12,068.50","12,114.90","12,055.15","12,100.70"
11/26/2019,"12,110.20","12,132.45","12,006.35","12,037.70"
11/25/2019,"11,922.45","12,084.50","11,919.75","12,073.75"
11/22/2019,"11,967.30","11,968.10","11,883.50","11,914.40"
11/21/2019,"12,025.65","12,028.20","11,956.90","11,968.40"
11/20/2019,"12,004.75","12,038.60","11,966.05","11,999.10"
11/19/2019,"11,919.45","11,958.85","11,881.75","11,940.10"
